name,ra,dec,trigger_time,t90,fluence,trigger_name
GRB120403857,55.3384,-89.0093,56020.85693,4.288,2.3964E-07,bn120403857
GRB120227725,256.73,-88.86,55984.72548,17.408,0.000021949,bn120227725
GRB230524357,13.08,-87.77,60088.35731,11.008,1.4201E-06,bn230524357
GRB231031144,155.22,-77.51,60248.14399,11.520,9.1048E-07,bn231031144
GRB240421224,291.83,-77.36,60421.22361,4.096,5.3114E-06,bn240421224
GRB141205018,294.61,-87.58,56996.01771,13.056,1.6031E-06,bn141205018
GRB180630467,48.9589,-87.4785,58299.4666,12.032,0.000002988,bn180630467
GRB170116238,72.94,-87.43,57769.23837,9.216,1.1231E-06,bn170116238
GRB091026550,276.573,-86.1115,55130.54969,8.960,1.3765E-06,bn091026550
GRB230428381,121.75,-86.06,60062.38123,4.352,3.4407E-07,bn230428381
GRB150312403,285.49,-86,57093.40331,0.320,1.4018E-07,bn150312403
GRB230307656,60.8576,-75.3785,60010.65563,34.561,0.0031475,bn230307656
GRB190806675,121.13,-75.36,58701.67539,20.992,0.000013501,bn190806675
GRB210721978,31.5333,-75.2167,59416.97816,9.984,9.3388E-07,bn210721978
GRB110520302,71.01,-85.93,55701.30169,12.288,1.0428E-06,bn110520302
GRB121216419,13.88,-85.44,56277.41894,9.216,3.8503E-07,bn121216419
GRB200107810,107.066,-83.716,58855.80999,81.154,4.0811E-06,bn200107810
GRB240119729,152.67,-83.61,60328.72856,0.832,1.5373E-06,bn240119729
GRB210411564,115.68,-74.84,59315.56441,47.873,0.000003749,bn210411564
GRB190304818,357.74,-74.84,58546.81763,2.880,2.9826E-06,bn190304818
GRB101227195,186.79,-83.55,55557.19478,95.488,3.4308E-06,bn101227195
GRB220430900,9.01,-83.38,59699.9,30.464,6.8001E-07,bn220430900
GRB200607921,41.33,-83.33,59007.9212,26.625,0.000011548,bn200607921
GRB160326062,188.15,-82.69,57473.06199,19.456,0.000001852,bn160326062
GRB230426853,38.53,-82.4,60060.85347,25.856,0.000052286,bn230426853
GRB231129799,11.91,-81.636,60277.79882,5.824,0.000078699,bn231129799
GRB220413167,249.08,-81.55,59682.16742,0.512,3.7194E-08,bn220413167
GRB101116481,32,-81.2,55516.48087,0.576,3.0435E-07,bn101116481
GRB220921473,94.33,-80.59,59843.4732,44.288,2.3189E-06,bn220921473
GRB170130697,296.39,-80.45,57783.69668,29.184,1.3192E-06,bn170130697
GRB190825171,210.86,-74.14,58720.17148,12.032,2.1626E-07,bn190825171
GRB080714425,187.5,-74,54661.42502,40.192,1.8139E-06,bn080714425
GRB110205027,359.73,-80.44,55597.02714,5.376,4.5134E-07,bn110205027
GRB110825265,251.31,-80.28,55798.26541,48.128,2.0912E-06,bn110825265
GRB160919613,266.15,-80.21,57650.61344,62.465,5.5262E-06,bn160919613
GRB120830212,337.87,-80.04,56169.21172,16.064,7.5151E-06,bn120830212
GRB140323433,356.959,-79.905,56739.43256,111.426,0.000032424,bn140323433
GRB220415645,298.38,-79.82,59684.64514,23.040,0.000002895,bn220415645
GRB181007737,211.22,-79.69,58398.73713,23.552,3.0597E-06,bn181007737
GRB240112914,148.48,-79.38,60321.91394,3.264,7.4339E-07,bn240112914
GRB190422284,306.66,-73.01,58595.28354,80.386,0.000013558,bn190422284
GRB100325246,209.14,-79.1,55280.24634,8.192,0.000001334,bn100325246
GRB100507577,2.9,-79.01,55323.57727,44.033,9.9681E-06,bn100507577
GRB200907957,34.5,-78.38,59099.95658,140.803,0.000040466,bn200907957
GRB230415474,61.71,-69.94,60049.4736,0.416,2.3746E-07,bn230415474
GRB171206122,9.48,-78.2,58093.12205,15.360,1.5221E-06,bn171206122
GRB140518709,244.04,-77.86,56795.70884,0.704,3.8053E-07,bn140518709
GRB130623488,20.723,-77.784,56466.48804,22.272,2.4645E-06,bn130623488
GRB141004150,30.44,-77.3,56934.15033,9.472,4.0962E-06,bn141004150
GRB101024486,66.5064,-77.2648,55493.48581,20.224,3.3282E-06,bn101024486
GRB200119692,271.04,-77.14,58867.69245,19.200,1.8743E-06,bn200119692
GRB210919653,215.16,-77.1,59476.65268,1.600,3.3071E-07,bn210919653
GRB210826293,64.63,-77.07,59452.29288,19.712,0.000012052,bn210826293
GRB190628521,144.08,-77.07,58662.52147,19.200,2.2606E-06,bn190628521
GRB221203537,355.06,-68.97,59916.5368,3.520,8.1981E-07,bn221203537
GRB110716018,329.68,-76.98,55758.01759,7.168,1.3547E-06,bn110716018
GRB220315101,236.09,-76.82,59653.10135,0.768,4.1031E-07,bn220315101
GRB110819665,139.49,-76.64,55792.66522,16.384,3.0361E-06,bn110819665
GRB190731943,339.94,-76.62,58695.94329,15.872,0.000088648,bn190731943
GRB180723133,130.03,-67.15,58322.13252,3.072,5.2896E-07,bn180723133
GRB090810659,168.93,-76.4,55053.65912,125.182,9.3687E-06,bn090810659
GRB180622273,201.56,-76.4,58291.27271,13.568,2.0338E-06,bn180622273
GRB160406570,208.48,-76.37,57484.56978,66.560,4.6582E-06,bn160406570
GRB130804023,280.03,-76.15,56508.0231,0.960,1.6629E-06,bn130804023
GRB240216456,46.68,-76.07,60356.45628,2.432,2.2702E-06,bn240216456
GRB161020759,66.09,-75.65,57681.75918,24.320,0.000029248,bn161020759
GRB230723194,22.909,-67.059,60148.19356,0.768,3.4556E-07,bn230723194
GRB180906597,104.81,-67.02,58367.59713,52.030,3.7165E-06,bn180906597
GRB110911071,258.58,-66.98,55815.07062,8.960,5.9377E-07,bn110911071
GRB200908886,169.53,-66.97,59100.8859,6.144,1.2339E-06,bn200908886
GRB120114433,263.23,-75.64,55940.43309,2.752,1.4875E-07,bn120114433
GRB170121067,3.03,-75.62,57774.06729,2.304,1.7268E-06,bn170121067
GRB170124874,282.04,-75.51,57777.87368,22.784,8.9724E-06,bn170124874
GRB180614327,52.22,-75.17,58283.32713,9.216,4.126E-07,bn180614327
GRB141022087,119.39,-75.17,56952.08658,9.216,0.000089994,bn141022087
GRB100112418,240.14,-75.1,55208.41756,23.040,1.0497E-06,bn100112418
GRB121116459,180.88,-74.79,56247.45862,0.832,4.9152E-07,bn121116459
GRB190327111,79.07,-74.67,58569.11054,36.864,6.3281E-06,bn190327111
GRB110212550,311.33,-74.5,55604.55039,0.064,6.3493E-07,bn110212550
GRB200629535,338.46,-65.59,59029.5346,28.160,9.6925E-06,bn200629535
GRB161012637,160.43,-74.28,57673.63698,6.400,6.1394E-07,bn161012637
GRB141221897,126.02,-74.21,57012.89709,32.513,7.4393E-06,bn141221897
GRB150602840,289.87,-74.21,57175.8398,10.496,4.7133E-06,bn150602840
GRB091117080,246.54,-73.94,55152.08015,113.664,3.6824E-06,bn091117080
GRB200809654,15.8295,-73.8456,59070.65379,17.408,1.4822E-06,bn200809654
GRB181103046,295.48,-73.76,58425.04636,11.776,6.0455E-07,bn181103046
GRB110517453,296.09,-73.76,55698.45319,0.576,9.8898E-08,bn110517453
GRB181022846,216.26,-65.29,58413.84619,13.824,7.6459E-07,bn181022846
GRB170304003,330.5,-73.76,57816.00308,0.160,3.1497E-07,bn170304003
GRB140712973,83.48,-73.62,56850.97282,28.160,5.0997E-06,bn140712973
GRB201227635,170.121,-73.613,59210.63481,0.112,0.000003429,bn201227635
