name,ra,dec,trigger_time,t90,fluence,trigger_name,log_t90,log_fluence,cluster_t90,cluster_fluence,cluster_both
GRB120403857,55.3384,-89.0093,56020.85693,4.288,2.3964e-07,bn120403857,0.6322548779660642,-6.620259499007743,1,1,1
GRB120227725,256.73,-88.86,55984.72548,17.408,2.1949e-05,bn120227725,1.2407489029660679,-4.658583282849974,0,0,0
GRB230524357,13.08,-87.77,60088.35731,11.008,1.4201e-06,bn230524357,1.0417084603440578,-5.847650491687274,0,1,0
GRB231031144,155.22,-77.51,60248.14399,11.52,9.1048e-07,bn231031144,1.0614525167863653,-6.040681892777034,0,1,1
GRB240421224,291.83,-77.36,60421.22361,4.096,5.3114e-06,bn240421224,0.6123600539966877,-5.274782814186207,1,0,0
GRB141205018,294.61,-87.58,56996.01771,13.056,1.6031e-06,bn141205018,1.1158101746737614,-5.795012295812849,0,1,0
GRB180630467,48.9589,-87.4785,58299.4666,12.032,2.988e-06,bn180630467,1.080337859342519,-5.524604872478635,0,0,0
GRB170116238,72.94,-87.43,57769.23837,9.216,1.1231e-06,bn170116238,0.9645425132031015,-5.94954290521427,0,1,1
GRB091026550,276.573,-86.1115,55130.54969,8.96,1.3765e-06,bn091026550,0.9523080581324888,-5.861192234782285,0,1,0
GRB230428381,121.75,-86.06,60062.38123,4.352,3.4407e-07,bn230428381,0.6386889864820426,-6.463226988169637,1,1,1
GRB150312403,285.49,-86.0,57093.40331,0.32,1.4018e-07,bn150312403,-0.4948486645119587,-6.853004242790535,1,1,1
GRB230307656,60.8576,-75.3785,60010.65563,34.561,0.0031475,bn230307656,1.53858631258234,-2.5020342474220225,0,0,0
GRB190806675,121.13,-75.36,58701.67539,20.992,1.3501e-05,bn190806675,1.3220538383841367,-4.869630845988822,0,0,0
GRB210721978,31.5333,-75.2167,59416.97816,9.984,9.3388e-07,bn210721978,0.9993046158373933,-6.029662423537183,0,1,1
GRB110520302,71.01,-85.93,55701.30169,12.288,1.0428e-06,bn110520302,1.0894812380304106,-5.981757332542091,0,1,0
GRB121216419,13.88,-85.44,56277.41894,9.216,3.8503e-07,bn121216419,0.9645425132031015,-6.414392650354162,0,1,1
GRB200107810,107.066,-83.716,58855.80999,81.154,4.0811e-06,bn200107810,1.9093099359846548,-5.389212122019653,0,0,0
GRB240119729,152.67,-83.61,60328.72856,0.832,1.5373e-06,bn240119729,-0.07987615172102978,-5.813213123266752,1,1,1
GRB210411564,115.68,-74.84,59315.56441,47.873,3.749e-06,bn210411564,1.6800906528190909,-5.426072975457621,0,0,0
GRB190304818,357.74,-74.84,58546.81763,2.88,2.9826e-06,bn190304818,0.4593926385558998,-5.52539042578529,1,0,1
GRB101227195,186.79,-83.55,55557.19478,95.488,3.4308e-06,bn101227195,1.9799488016686948,-5.464591940084631,0,0,0
GRB220430900,9.01,-83.38,59699.9,30.464,6.8001e-07,bn220430900,1.4837869409603701,-6.167420839456289,0,1,0
GRB200607921,41.33,-83.33,59007.9212,26.625,1.1548e-05,bn200607921,1.4252896327583238,-4.937489464030999,0,0,0
GRB160326062,188.15,-82.69,57473.06199,19.456,1.852e-06,bn160326062,1.2890535799145195,-5.732335568261141,0,1,0
GRB230426853,38.53,-82.4,60060.85347,25.856,5.2286e-05,bn230426853,1.4125613558911534,-4.281613750819912,0,0,0
GRB231129799,11.91,-81.636,60277.79882,5.824,7.8699e-05,bn231129799,0.7652214408747686,-4.104030234188187,0,0,0
GRB220413167,249.08,-81.55,59682.16742,0.512,3.7194e-08,bn220413167,-0.2907291907935876,-7.42836103351284,1,1,1
GRB101116481,32.0,-81.2,55516.48087,0.576,3.0435e-07,bn101116481,-0.23957676259396693,-6.516484021609458,1,1,1
GRB220921473,94.33,-80.59,59843.4732,44.288,2.3189e-06,bn220921473,1.6462860782467883,-5.634699251362012,0,1,0
GRB170130697,296.39,-80.45,57783.69668,29.184,1.3192e-06,bn170130697,1.4651448315295748,-5.879656437561975,0,1,0
GRB190825171,210.86,-74.14,58720.17148,12.032,2.1626e-07,bn190825171,1.080337859342519,-6.664823027229973,0,1,1
GRB080714425,187.5,-74.0,54661.42502,40.192,1.8139e-06,bn080714425,1.6041396285265788,-5.741362717275924,0,1,0
GRB110205027,359.73,-80.44,55597.02714,5.376,4.5134e-07,bn110205027,0.7304593408297052,-6.345399962738015,0,1,1
GRB110825265,251.31,-80.28,55798.26541,48.128,2.0912e-06,bn110825265,1.6823978235992676,-5.6795836625438305,0,1,0
GRB160919613,266.15,-80.21,57650.61344,62.465,5.5262e-06,bn160919613,1.7956367512640061,-5.257565542726041,0,0,0
GRB120830212,337.87,-80.04,56169.21172,16.064,7.5151e-06,bn120830212,1.2058537225001886,-5.1240594571608264,0,0,0
GRB140323433,356.959,-79.905,56739.43256,111.426,3.2424e-05,bn140323433,2.0469865442778343,-4.489132069845526,0,0,0
GRB220415645,298.38,-79.82,59684.64514,23.04,2.895e-06,bn220415645,1.362482493600761,-5.538336430659125,0,0,0
GRB181007737,211.22,-79.69,58398.73713,23.552,3.0597e-06,bn181007737,1.3720278110972177,-5.514306959706339,0,0,0
GRB240112914,148.48,-79.38,60321.91394,3.264,7.4339e-07,bn240112914,0.5137502831377105,-6.128724868398281,1,1,1
GRB190422284,306.66,-73.01,58595.28354,80.386,1.3558e-05,bn190422284,1.905180424148925,-4.86780116720427,0,0,0
GRB100325246,209.14,-79.1,55280.24634,8.192,1.334e-06,bn100325246,0.9133899966462153,-5.874811615831403,0,1,1
GRB100507577,2.9,-79.01,55323.57727,44.033,9.9681e-06,bn100507577,1.643778285126262,-5.001383256998608,0,0,0
GRB200907957,34.5,-78.38,59099.95658,140.803,4.0466e-05,bn200907957,2.1486119112254896,-4.392908649576706,0,0,0
GRB230415474,61.71,-69.94,60049.4736,0.416,2.3746e-07,bn230415474,-0.38090562539739214,-6.624226683395016,1,1,1
GRB171206122,9.48,-78.2,58093.12205,15.36,1.5221e-06,bn171206122,1.1863912439698725,-5.817528282394625,0,1,0
GRB140518709,244.04,-77.86,56795.70884,0.704,3.8053e-07,bn140518709,-0.15242672396275506,-6.419496985042696,1,1,1
GRB130623488,20.723,-77.784,56466.48804,22.272,2.4645e-06,bn130623488,1.3477592374300402,-5.60825355585492,0,1,0
GRB141004150,30.44,-77.3,56934.15033,9.472,4.0962e-06,bn141004150,0.9764417352291885,-5.387608244519163,0,0,0
GRB101024486,66.5064,-77.2648,55493.48581,20.224,3.3282e-06,bn101024486,1.3058670780765034,-5.477777535003744,0,0,0
GRB200119692,271.04,-77.14,58867.69245,19.2,1.8743e-06,bn200119692,1.2833012513230533,-5.727137724411094,0,1,0
GRB210919653,215.16,-77.1,59476.65268,1.6,3.3071e-07,bn210919653,0.20412025408989115,-6.480421370706017,1,1,1
GRB210826293,64.63,-77.07,59452.29288,19.712,1.2052e-05,bn210826293,1.2947307125163157,-4.9189372735081385,0,0,0
GRB190628521,144.08,-77.07,58662.52147,19.2,2.2606e-06,bn190628521,1.2833012513230533,-5.645757065690451,0,1,0
GRB221203537,355.06,-68.97,59916.5368,3.52,8.1981e-07,bn221203537,0.5465427868572277,-6.086233816699844,1,1,1
GRB110716018,329.68,-76.98,55758.01759,7.168,1.3547e-06,bn110716018,0.8553980572420224,-5.868124812027407,0,1,1
GRB220315101,236.09,-76.82,59653.10135,0.768,4.1031e-07,bn220315101,-0.11463821448124949,-6.386782065800946,1,1,1
GRB110819665,139.49,-76.64,55792.66522,16.384,3.0361e-06,bn110819665,1.2144199658029675,-5.517669624069199,0,0,0
GRB190731943,339.94,-76.62,58695.94329,15.872,8.8648e-05,bn190731943,1.2006316821724061,-4.052330568222775,0,0,0
